cause_category,specific_cause,road_type,severity_level,prevention_strategy
Driver Behavior,Speeding,All,High,"Enforce speed limits|Install speed cameras|Public awareness campaigns"
Driver Behavior,Distracted Driving,All,High,"Hands-free laws|Public education|Enforcement campaigns"
Driver Behavior,Impaired Driving,All,High,"Sobriety checkpoints|Ignition interlock devices|Treatment programs"
Driver Behavior,Fatigue,Highway,Medium,"Rest area promotion|Drowsy driving education|Commercial driver regulations"
Driver Behavior,Aggressive Driving,Arterial,High,"Road rage prevention|Enforcement|Public awareness"
Vehicle Issues,Brake Failure,All,High,"Regular inspections|Maintenance reminders|Safety recalls"
Vehicle Issues,Tire Blowout,All,High,"Tire pressure monitoring|Tread depth requirements|Seasonal tire checks"
Vehicle Issues,Lighting Issues,All,Medium,"Headlight inspections|Taillight checks|Emergency repair programs"
Road Design,Sharp Curves,Rural,Medium,"Curve warning signs|Road widening|Guardrail installation"
Road Design,Poor Visibility,All,Medium,"Clear vegetation|Reflective markers|Fog detection systems"
Road Design,Inadequate Lighting,Residential,Medium,"LED streetlight installation|Lighting maintenance|Community requests"
Road Design,Potholes,All,Low,"Regular maintenance|Pothole reporting apps|Emergency repair teams"
Weather Conditions,Rain,All,Medium,"Hydroplaning education|Drainage improvements|Weather advisory systems"
Weather Conditions,Fog,All,High,"Fog detection systems|Warning signs|Speed reduction measures"
Weather Conditions,Snow/Ice,All,High,"Road treatment protocols|Chain requirements|Weather forecasting"
Intersection Issues,Signal Malfunction,All,Medium,"Regular maintenance|Backup systems|Emergency repairs"
Intersection Issues,Inadequate Signing,All,Low,"Sign audits|Standardization|Installation"
Intersection Issues,Poor Sight Distance,All,Medium,"Vegetation clearing|Sign placement|Intersection redesign"
Pedestrian Issues,Crossing Violations,All,High,"Enforcement|Education|Crossing improvements"
Pedestrian Issues,Poor Visibility,All,Medium,"Lighting improvements|Reflective clothing|Crossing signals"
Bicycle Issues,Lack of Lanes,All,Medium,"Bike lane installation|Shared road markings|Protected bike lanes"
Bicycle Issues,Dooring,Urban,Low,"Education campaigns|Door opening laws|Bike lane buffers"